	Achroia_grisella-GCF_030625045.1_CSIRO_AGI_Agris_v1_translated_cds	Amyelois_transitella-GCF_032362555.1_ilAmyTran1.1_translated_cds	Aricia_agestis-GCF_905147365.1_ilAriAges1.1_translated_cds	Bicyclus_anynana-GCF_947172395.1_ilBicAnyn1.1_translated_cds	Bombyx_mandarina-GCF_003987935.1_ASM398793v1_translated_cds	Bombyx_mori-GCF_014905235.1_Bmori_2016v1.0_translated_cds	Colias_croceus-GCF_905220415.1_ilColCroc2.1_translated_cds	Cydia_pomonella-GCF_033807575.1_ilCydPomo1_translated_cds	Danaus_plexippus-GCF_018135715.1_MEX_DaPlex_translated_cds	Galleria_mellonella-GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds	Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds
Helicoverpa_armigera-GCF_023701775.1_HaSCD2_translated_cds	10612	10582	10238	10405	10126	10585	10581	10677	10574	10634	11567	11342	10033	10043	10703	10496	10261	10404	10755	10451	10032	10406	10536	10191	10278	10294	10699	10373	11114	11045	10851	10483	10536	10363	10143
Helicoverpa_zea-GCF_022581195.2_ilHelZeax1.1_translated_cds	10635	10607	10267	10418	10150	10613	10602	10686	10592	10661	11342	11624	10046	10060	10728	10498	10284	10423	10807	10479	10049	10423	10561	10199	10279	10301	10723	10403	11106	11086	10867	10500	10565	10392	10162
Leguminivora_glycinivorella-GCF_023078275.1_LegGlyc_1.1_translated_cds	9957	9907	9658	9776	9457	9876	9932	10830	9892	9981	10033	10046	11239	9438	9972	9852	9660	9765	10069	9835	9393	9790	9922	9556	9651	9645	10003	9813	10075	10044	9934	9832	9883	9750	9526
Leptidea_sinapis-GCF_905404315.1_ilLepSina1.1_translated_cds	9957	9980	9783	9928	9510	9931	10107	10043	10021	9987	10043	10060	9438	10399	10010	9959	9810	9953	10027	9967	9550	9909	9931	9947	10017	9971	10034	9846	10102	10046	9967	10007	10042	9884	9754
Manduca_sexta-GCF_014839805.1_JHU_Msex_v1.0_translated_cds	10570	10517	10184	10346	10131	10572	10502	10615	10520	10577	10703	10728	9972	10010	11384	10420	10210	10364	10727	10417	10011	10358	10469	10162	10236	10258	10633	10290	10771	10726	10652	10440	10507	10327	10117
Maniola_jurtina-GCF_905333055.1_ilManJurt1.1_translated_cds	10414	10384	10212	10451	9885	10318	10488	10505	10465	10438	10496	10498	9852	9959	10420	11089	10183	10355	10498	10351	9871	10633	10333	10077	10171	10172	10485	10241	10569	10497	10420	10447	10487	10295	10033
Melitaea_cinxia-GCF_905220565.1_ilMelCinx1.1_translated_cds	10200	10188	9978	10183	9743	10174	10263	10264	10239	10207	10261	10284	9660	9810	10210	10183	10729	10200	10298	10202	9767	10140	10155	9896	9983	9996	10206	10052	10277	10269	10199	10299	10320	10240	9934
Nymphalis_io-GCF_905147045.1_ilAglIoxx1.1_translated_cds	10324	10318	10102	10284	9815	10262	10422	10404	10469	10366	10404	10423	9765	9953	10364	10355	10200	10814	10383	10322	9850	10325	10264	10117	10159	10179	10412	10134	10486	10416	10328	10578	10605	10378	10036
Ostrinia_furnacalis-GCF_004193835.1_ASM419383v1_translated_cds	10707	10642	10246	10383	10164	10593	10578	10736	10552	10702	10755	10807	10069	10027	10727	10498	10298	10383	11625	10463	10075	10423	10581	10155	10249	10274	10738	10417	10820	10843	10740	10478	10527	10424	10155
Papilio_machaon-GCF_912999745.1_ilPapMach1.1_translated_cds	10402	10383	10133	10295	9917	10345	10447	10479	10417	10413	10451	10479	9835	9967	10417	10351	10202	10322	10463	11012	10231	10332	10370	10086	10178	10179	10440	10253	10517	10464	10373	10409	10440	10286	10081
Papilio_polytes-GCF_000836215.1_Ppol_1.0_translated_cds	9957	9936	9677	9858	9538	9920	9977	10009	10000	9966	10032	10049	9393	9550	10011	9871	9767	9850	10075	10231	10556	9845	9909	9673	9742	9782	10008	9803	10077	10065	9987	9934	9960	9896	9693
Pararge_aegeria-GCF_905163445.1_ilParAegt1.1_translated_cds	10359	10328	10152	10419	9841	10261	10428	10419	10404	10390	10406	10423	9790	9909	10358	10633	10140	10325	10423	10332	9845	10974	10286	10039	10120	10129	10406	10187	10487	10418	10341	10421	10437	10273	10002
Pectinophora_gossypiella-GCF_024362695.1_ilPecGoss1.1_translated_cds	10485	10470	10124	10277	9934	10373	10439	10563	10366	10494	10536	10561	9922	9931	10469	10333	10155	10264	10581	10370	9909	10286	11065	10053	10156	10153	10536	10322	10592	10523	10442	10362	10400	10259	10053
Pieris_brassicae-GCF_905147105.1_ilPieBrab1.1_translated_cds	10100	10099	9907	10031	9627	10065	10283	10160	10219	10118	10191	10199	9556	9947	10162	10077	9896	10117	10155	10086	9673	10039	10053	10621	10405	10385	10192	9942	10253	10187	10100	10160	10184	10012	9916
Pieris_napi-GCF_905475465.1_ilPieNapi1.2_translated_cds	10171	10192	9994	10131	9702	10149	10373	10260	10264	10194	10278	10279	9651	10017	10236	10171	9983	10159	10249	10178	9742	10120	10156	10405	10771	10453	10264	10045	10332	10273	10198	10212	10266	10083	9995
Pieris_rapae-GCF_905147795.1_ilPieRapa1.1_translated_cds	10196	10206	9992	10136	9728	10168	10388	10265	10279	10231	10294	10301	9645	9971	10258	10172	9996	10179	10274	10179	9782	10129	10153	10385	10453	10752	10282	10038	10356	10291	10194	10243	10262	10109	10026
Plodia_interpunctella-GCF_027563975.1_ilPloInte3.1_translated_cds	10693	10824	10232	10357	10064	10526	10562	10693	10580	10719	10699	10723	10003	10034	10633	10485	10206	10412	10738	10440	10008	10406	10536	10192	10264	10282	11275	10378	10794	10721	10634	10472	10534	10350	10115
Plutella_xylostella-GCF_932276165.1_ilPluXylo3.1_translated_cds	10350	10316	10060	10156	9814	10243	10312	10434	10251	10350	10373	10403	9813	9846	10290	10241	10052	10134	10417	10253	9803	10187	10322	9942	10045	10038	10378	10883	10424	10349	10301	10240	10251	10129	9930
Spodoptera_frugiperda-GCF_023101765.2_AGI-APGP_CSIRO_Sfru_2.0_translated_cds	10686	10649	10291	10427	10154	10629	10659	10746	10639	10715	11114	11106	10075	10102	10771	10569	10277	10486	10820	10517	10077	10487	10592	10253	10332	10356	10794	10424	11698	11383	10920	10568	10611	10422	10186
Spodoptera_litura-GCF_002706865.1_ASM270686v1_translated_cds	10628	10600	10244	10395	10145	10583	10604	10691	10584	10652	11045	11086	10044	10046	10726	10497	10269	10416	10843	10464	10065	10418	10523	10187	10273	10291	10721	10349	11383	11903	10904	10506	10549	10405	10170
Trichoplusia_ni-GCF_003590095.1_tn1_translated_cds	10558	10518	10169	10316	10073	10506	10507	10604	10514	10544	10851	10867	9934	9967	10652	10420	10199	10328	10740	10373	9987	10341	10442	10100	10198	10194	10634	10301	10920	10904	11356	10412	10460	10320	10072
Vanessa_atalanta-GCF_905147765.1_ilVanAtal1.2_translated_cds	10426	10413	10186	10364	9913	10362	10512	10479	10525	10457	10483	10500	9832	10007	10440	10447	10299	10578	10478	10409	9934	10421	10362	10160	10212	10243	10472	10240	10568	10506	10412	10946	10701	10505	10113
Vanessa_cardui-GCF_905220365.1_ilVanCard2.1_translated_cds	10443	10441	10219	10393	9941	10399	10557	10546	10573	10495	10536	10565	9883	10042	10507	10487	10320	10605	10527	10440	9960	10437	10400	10184	10266	10262	10534	10251	10611	10549	10460	10701	11032	10524	10124
Vanessa_tameamea-GCF_002938995.1_ASM293899v1_translated_cds	10307	10289	10096	10280	9872	10265	10371	10379	10402	10333	10363	10392	9750	9884	10327	10295	10240	10378	10424	10286	9896	10273	10259	10012	10083	10109	10350	10129	10422	10405	10320	10505	10524	10822	10072
Zerene_cesonia-GCF_012273895.1_Zerene_cesonia_1.1_translated_cds	10067	10081	9861	10043	9618	10060	10342	10129	10155	10100	10143	10162	9526	9754	10117	10033	9934	10036	10155	10081	9693	10002	10053	9916	9995	10026	10115	9930	10186	10170	10072	10113	10124	10072	10546
